problem_statement,titleslug,title,tags,num_occur
"Given a string s, partition s such that every substring of the partition is a palindrome. Return all possible palindrome partitioning of s.  ",palindrome-partitioning,Palindrome Partitioning,"String, Dynamic Programming, Backtracking",3
"You are given an integer array prices where prices[i] is the price of a given stock on the ith day. On each day, you may decide to buy and/or sell the stock. You can only hold at most one share of the stock at any time. However, you can buy it then immediately sell it on the same day. Find and return the maximum profit you can achieve.  ",best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,"Array, Dynamic Programming, Greedy",3
"Given the root of a binary tree and an integer targetSum, return all root-to-leaf paths where the sum of the node values in the path equals targetSum. Each path should be returned as a list of the node values, not node references. A root-to-leaf path is a path starting from the root and ending at any leaf node. A leaf is a node with no children.  ",path-sum-ii,Path Sum II,"Backtracking, Tree, Depth-First Search, Binary Tree",3
"Given two integer arrays preorder and inorder where preorder is the preorder traversal of a binary tree and inorder is the inorder traversal of the same tree, construct and return the binary tree.  ",construct-binary-tree-from-preorder-and-inorder-traversal,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",3
"Given the root of a binary tree, return the zigzag level order traversal of its nodes' values. (i.e., from left to right, then right to left for the next level and alternate between).  ",binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,"Tree, Breadth-First Search, Binary Tree",3
"Given the root of a binary tree, return the level order traversal of its nodes' values. (i.e., from left to right, level by level).  ",binary-tree-level-order-traversal,Binary Tree Level Order Traversal,"Tree, Breadth-First Search, Binary Tree",3
"Given the roots of two binary trees p and q, write a function to check if they are the same or not. Two binary trees are considered the same if they are structurally identical, and the nodes have the same value.  ",same-tree,Same Tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",3
"Given strings s1, s2, and s3, find whether s3 is formed by an interleaving of s1 and s2. An interleaving of two strings s and t is a configuration where s and t are divided into n and m substrings respectively, such that:  s = s1 + s2 + ... + sn t = t1 + t2 + ... + tm |n - m| <= 1 The interleaving is s1 + t1 + s2 + t2 + s3 + t3 + ... or t1 + s1 + t2 + s2 + t3 + s3 + ...  Note: a + b is the concatenation of strings a and b.  ",interleaving-string,Interleaving String,"String, Dynamic Programming",3
"Given the head of a singly linked list and two integers left and right where left <= right, reverse the nodes of the list from position left to position right, and return the reversed list.  ",reverse-linked-list-ii,Reverse Linked List II,Linked List,3
"You are given an m x n integer array grid. There is a robot initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m - 1][n - 1]). The robot can only move either down or right at any point in time. An obstacle and space are marked as 1 or 0 respectively in grid. A path that the robot takes cannot include any square that is an obstacle. Return the number of possible unique paths that the robot can take to reach the bottom-right corner. The testcases are generated so that the answer will be less than or equal to 2 * 109.  ",unique-paths-ii,Unique Paths II,"Array, Dynamic Programming, Matrix",3
"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the n-queens puzzle. You may return the answer in any order. Each solution contains a distinct board configuration of the n-queens' placement, where 'Q' and '.' both indicate a queen and an empty space, respectively.  ",n-queens,N-Queens,"Array, Backtracking",3
"You are given a 0-indexed array of integers nums of length n. You are initially positioned at nums[0]. Each element nums[i] represents the maximum length of a forward jump from index i. In other words, if you are at nums[i], you can jump to any nums[i + j] where:  0 <= j <= nums[i] and i + j < n  Return the minimum number of jumps to reach nums[n - 1]. The test cases are generated such that you can reach nums[n - 1].  ",jump-game-ii,Jump Game II,"Array, Dynamic Programming, Greedy",3
"The count-and-say sequence is a sequence of digit strings defined by the recursive formula:  countAndSay(1) = ""1"" countAndSay(n) is the way you would ""say"" the digit string from countAndSay(n-1), which is then converted into a different digit string.  To determine how you ""say"" a digit string, split it into the minimal number of substrings such that each substring contains exactly one unique digit. Then for each substring, say the number of digits, then say the digit. Finally, concatenate every said digit. For example, the saying and conversion for digit string ""3322251"":  Given a positive integer n, return the nth term of the count-and-say sequence.  ",count-and-say,Count and Say,String,3
"There is an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2]. Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums. You must write an algorithm with O(log n) runtime complexity.  ",search-in-rotated-sorted-array,Search in Rotated Sorted Array,"Array, Binary Search",3
You are given the heads of two sorted linked lists list1 and list2. Merge the two lists in a one sorted list. The list should be made by splicing together the nodes of the first two lists. Return the head of the merged linked list.  ,merge-two-sorted-lists,Merge Two Sorted Lists,"Linked List, Recursion",3
"Given an integer array nums of length n and an integer target, find three integers in nums such that the sum is closest to target. Return the sum of the three integers. You may assume that each input would have exactly one solution.  ",3sum-closest,3Sum Closest,"Array, Two Pointers, Sorting",3
"Given a zero-based permutation nums (0-indexed), build an array ans of the same length where ans[i] = nums[nums[i]] for each 0 <= i < nums.length and return it. A zero-based permutation nums is an array of distinct integers from 0 to nums.length - 1 (inclusive).  ",build-array-from-permutation,Build Array from Permutation,"Array, Simulation",2
"Given two strings s and part, perform the following operation on s until all occurrences of the substring part are removed:  Find the leftmost occurrence of the substring part and remove it from s.  Return s after removing all occurrences of part. A substring is a contiguous sequence of characters in a string.  ",remove-all-occurrences-of-a-substring,Remove All Occurrences of a Substring,String,2
"A sentence is a list of words that are separated by a single space with no leading or trailing spaces. Each word consists of lowercase and uppercase English letters. A sentence can be shuffled by appending the 1-indexed word position to each word then rearranging the words in the sentence.  For example, the sentence ""This is a sentence"" can be shuffled as ""sentence4 a3 is2 This1"" or ""is2 sentence4 This1 a3"".  Given a shuffled sentence s containing no more than 9 words, reconstruct and return the original sentence.  ",sorting-the-sentence,Sorting the Sentence,"String, Sorting",2
"You are given a 2D integer array logs where each logs[i] = [birthi, deathi] indicates the birth and death years of the ith person. The population of some year x is the number of people alive during that year. The ith person is counted in year x's population if x is in the inclusive range [birthi, deathi - 1]. Note that the person is not counted in the year that they die. Return the earliest year with the maximum population.  ",maximum-population-year,Maximum Population Year,"Array, Counting",2
"You are given a string s that contains some bracket pairs, with each pair containing a non-empty key.  For example, in the string ""(name)is(age)yearsold"", there are two bracket pairs that contain the keys ""name"" and ""age"".  You know the values of a wide range of keys. This is represented by a 2D string array knowledge where each knowledge[i] = [keyi, valuei] indicates that key keyi has a value of valuei. You are tasked to evaluate all of the bracket pairs. When you evaluate a bracket pair that contains some key keyi, you will:  Replace keyi and the bracket pair with the key's corresponding valuei. If you do not know the value of the key, you will replace keyi and the bracket pair with a question mark ""?"" (without the quotation marks).  Each key will appear at most once in your knowledge. There will not be any nested brackets in s. Return the resulting string after evaluating all of the bracket pairs.  ",evaluate-the-bracket-pairs-of-a-string,Evaluate the Bracket Pairs of a String,"Array, Hash Table, String",2
"You are given an integer matrix isWater of size m x n that represents a map of land and water cells.  If isWater[i][j] == 0, cell (i, j) is a land cell. If isWater[i][j] == 1, cell (i, j) is a water cell.  You must assign each cell a height in a way that follows these rules:  The height of each cell must be non-negative. If the cell is a water cell, its height must be 0. Any two adjacent cells must have an absolute height difference of at most 1. A cell is adjacent to another cell if the former is directly north, east, south, or west of the latter (i.e., their sides are touching).  Find an assignment of heights such that the maximum height in the matrix is maximized. Return an integer matrix height of size m x n where height[i][j] is cell (i, j)'s height. If there are multiple solutions, return any of them.  ",map-of-highest-peak,Map of Highest Peak,"Array, Breadth-First Search, Matrix",2
"Given an integer array nums and a positive integer k, return the most competitive subsequence of nums of size k. An array's subsequence is a resulting sequence obtained by erasing some (possibly zero) elements from the array. We define that a subsequence a is more competitive than a subsequence b (of the same length) if in the first position where a and b differ, subsequence a has a number less than the corresponding number in b. For example, [1,3,4] is more competitive than [1,3,5] because the first position they differ is at the final number, and 4 is less than 5.  ",find-the-most-competitive-subsequence,Find the Most Competitive Subsequence,"Array, Stack, Greedy, Monotonic Stack",2
"Given an array of integers nums, sort the array in increasing order based on the frequency of the values. If multiple values have the same frequency, sort them in decreasing order. Return the sorted array.  ",sort-array-by-increasing-frequency,Sort Array by Increasing Frequency,"Array, Hash Table, Sorting",2
"Given a string s, return the length of the longest substring between two equal characters, excluding the two characters. If there is no such substring return -1. A substring is a contiguous sequence of characters within a string.  ",largest-substring-between-two-equal-characters,Largest Substring Between Two Equal Characters,"Hash Table, String",2
"Given a directed acyclic graph, with n vertices numbered from 0 to n-1, and an array edges where edges[i] = [fromi, toi] represents a directed edge from node fromi to node toi. Find the smallest set of vertices from which all nodes in the graph are reachable. It's guaranteed that a unique solution exists. Notice that you can return the vertices in any order.  ",minimum-number-of-vertices-to-reach-all-nodes,Minimum Number of Vertices to Reach All Nodes,Graph,2
"Given an array arr of positive integers sorted in a strictly increasing order, and an integer k. Return the kth positive integer that is missing from this array.  ",kth-missing-positive-number,Kth Missing Positive Number,"Array, Binary Search",2
"Given an array of integers arr, and three integers a, b and c. You need to find the number of good triplets. A triplet (arr[i], arr[j], arr[k]) is good if the following conditions are true:  0 <= i < j < k < arr.length |arr[i] - arr[j]| <= a |arr[j] - arr[k]| <= b |arr[i] - arr[k]| <= c  Where |x| denotes the absolute value of x. Return the number of good triplets.  ",count-good-triplets,Count Good Triplets,"Array, Enumeration",2
You are given a string s and an integer array indices of the same length. The string s will be shuffled such that the character at the ith position moves to indices[i] in the shuffled string. Return the shuffled string.  ,shuffle-string,Shuffle String,"Array, String",2
"Given an array of integers arr, return the number of subarrays with an odd sum. Since the answer can be very large, return it modulo 109 + 7.  ",number-of-sub-arrays-with-odd-sum,Number of Sub-arrays With Odd Sum,"Array, Math, Dynamic Programming, Prefix Sum",2
"Given a string path, where path[i] = 'N', 'S', 'E' or 'W', each representing moving one unit north, south, east, or west, respectively. You start at the origin (0, 0) on a 2D plane and walk on the path specified by path. Return true if the path crosses itself at any point, that is, if at any time you are on a location you have previously visited. Return false otherwise.  ",path-crossing,Path Crossing,"Hash Table, String",2
"You are given an integer array bloomDay, an integer m and an integer k. You want to make m bouquets. To make a bouquet, you need to use k adjacent flowers from the garden. The garden consists of n flowers, the ith flower will bloom in the bloomDay[i] and then can be used in exactly one bouquet. Return the minimum number of days you need to wait to be able to make m bouquets from the garden. If it is impossible to make m bouquets return -1.  ",minimum-number-of-days-to-make-m-bouquets,Minimum Number of Days to Make m Bouquets,"Array, Binary Search",2
"Given an integer n, return a list of all simplified fractions between 0 and 1 (exclusive) such that the denominator is less-than-or-equal-to n. You can return the answer in any order.  ",simplified-fractions,Simplified Fractions,"Math, String, Number Theory",2
"The power of the string is the maximum length of a non-empty substring that contains only one unique character. Given a string s, return the power of s.  ",consecutive-characters,Consecutive Characters,String,2
"You are given an integer array target and an integer n. You have an empty stack with the two following operations:  ""Push"": pushes an integer to the top of the stack. ""Pop"": removes the integer on the top of the stack.  You also have a stream of the integers in the range [1, n]. Use the two stack operations to make the numbers in the stack (from the bottom to the top) equal to target. You should follow the following rules:  If the stream of the integers is not empty, pick the next integer from the stream and push it to the top of the stack. If the stack is not empty, pop the integer at the top of the stack. If, at any moment, the elements in the stack (from the bottom to the top) are equal to target, do not read new integers from the stream and do not do more operations on the stack.  Return the stack operations needed to build target following the mentioned rules. If there are multiple valid answers, return any of them.  ",build-an-array-with-stack-operations,Build an Array With Stack Operations,"Array, Stack, Simulation",2
"You are given the array paths, where paths[i] = [cityAi, cityBi] means there exists a direct path going from cityAi to cityBi. Return the destination city, that is, the city without any path outgoing to another city. It is guaranteed that the graph of paths forms a line without any loop, therefore, there will be exactly one destination city.  ",destination-city,Destination City,"Hash Table, String",2
"There is a pizza with 3n slices of varying size, you and your friends will take slices of pizza as follows:  You will pick any pizza slice. Your friend Alice will pick the next slice in the anti-clockwise direction of your pick. Your friend Bob will pick the next slice in the clockwise direction of your pick. Repeat until there are no more slices of pizzas.  Given an integer array slices that represent the sizes of the pizza slices in a clockwise direction, return the maximum possible sum of slice sizes that you can pick.  ",pizza-with-3n-slices,Pizza With 3n Slices,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)",2
"Given an undirected tree consisting of n vertices numbered from 1 to n. A frog starts jumping from vertex 1. In one second, the frog jumps from its current vertex to another unvisited vertex if they are directly connected. The frog can not jump back to a visited vertex. In case the frog can jump to several vertices, it jumps randomly to one of them with the same probability. Otherwise, when the frog can not jump to any unvisited vertex, it jumps forever on the same vertex. The edges of the undirected tree are given in the array edges, where edges[i] = [ai, bi] means that exists an edge connecting the vertices ai and bi. Return the probability that after t seconds the frog is on the vertex target. Answers within 10-5 of the actual answer will be accepted.  ",frog-position-after-t-seconds,Frog Position After T Seconds,"Tree, Depth-First Search, Breadth-First Search, Graph",2
"In a special ranking system, each voter gives a rank from highest to lowest to all teams participating in the competition. The ordering of teams is decided by who received the most position-one votes. If two or more teams tie in the first position, we consider the second position to resolve the conflict, if they tie again, we continue this process until the ties are resolved. If two or more teams are still tied after considering all positions, we rank them alphabetically based on their team letter. You are given an array of strings votes which is the votes of all voters in the ranking systems. Sort all teams according to the ranking system described above. Return a string of all teams sorted by the ranking system.  ",rank-teams-by-votes,Rank Teams by Votes,"Array, Hash Table, String, Sorting, Counting",2
"Given an array arr of integers, check if there exist two indices i and j such that :  i != j 0 <= i, j < arr.length arr[i] == 2 * arr[j]   ",check-if-n-and-its-double-exist,Check If N and Its Double Exist,"Array, Hash Table, Two Pointers, Binary Search, Sorting",2
"Given an array of integers arr, replace each element with its rank. The rank represents how large the element is. The rank has the following rules:  Rank is an integer starting from 1. The larger the element, the larger the rank. If two elements are equal, their rank must be the same. Rank should be as small as possible.   ",rank-transform-of-an-array,Rank Transform of an Array,"Array, Hash Table, Sorting",2
"Given two binary search trees root1 and root2, return a list containing all the integers from both trees sorted in ascending order.  ",all-elements-in-two-binary-search-trees,All Elements in Two Binary Search Trees,"Tree, Depth-First Search, Binary Search Tree, Sorting, Binary Tree",2
"Given an integer array sorted in non-decreasing order, there is exactly one integer in the array that occurs more than 25% of the time, return that integer.  ",element-appearing-more-than-25-in-sorted-array,Element Appearing More Than 25% In Sorted Array,Array,2
"There is an m x n matrix that is initialized to all 0's. There is also a 2D array indices where each indices[i] = [ri, ci] represents a 0-indexed location to perform some increment operations on the matrix. For each location indices[i], do both of the following:  Increment all the cells on row ri. Increment all the cells on column ci.  Given m, n, and indices, return the number of odd-valued cells in the matrix after applying the increment to all locations in indices.  ",cells-with-odd-values-in-a-matrix,Cells with Odd Values in a Matrix,"Array, Math, Simulation",2
"Given a string s of '(' , ')' and lowercase English characters. Your task is to remove the minimum number of parentheses ( '(' or ')', in any positions ) so that the resulting parentheses string is valid and return any valid string. Formally, a parentheses string is valid if and only if:  It is the empty string, contains only lowercase characters, or It can be written as AB (A concatenated with B), where A and B are valid strings, or It can be written as (A), where A is a valid string.   ",minimum-remove-to-make-valid-parentheses,Minimum Remove to Make Valid Parentheses,"String, Stack",2
"Given a callable function f(x, y) with a hidden formula and a value z, reverse engineer the formula and return all positive integer pairs x and y where f(x,y) == z. You may return the pairs in any order. While the exact formula is hidden, the function is monotonically increasing, i.e.:  f(x, y) < f(x + 1, y) f(x, y) < f(x, y + 1)  The function interface is defined like this:  interface CustomFunction { public:   // Returns some positive integer f(x, y) for two positive integers x and y based on a formula.   int f(int x, int y); };  We will judge your solution as follows:  The judge has a list of 9 hidden implementations of CustomFunction, along with a way to generate an answer key of all valid pairs for a specific z. The judge will receive two inputs: a function_id (to determine which implementation to test your code with), and the target z. The judge will call your findSolution and compare your results with the answer key. If your results match the answer key, your solution will be Accepted.   ",find-positive-integer-solution-for-a-given-equation,Find Positive Integer Solution for a Given Equation,"Math, Two Pointers, Binary Search, Interactive",2
"Given an array of integers arr, return true if the number of occurrences of each value in the array is unique or false otherwise.  ",unique-number-of-occurrences,Unique Number of Occurrences,"Array, Hash Table",2
"Given an array of distinct integers arr, find all pairs of elements with the minimum absolute difference of any two elements. Return a list of pairs in ascending order(with respect to pairs), each pair [a, b] follows  a, b are from arr a < b b - a equals to the minimum absolute difference of any two elements in arr   ",minimum-absolute-difference,Minimum Absolute Difference,"Array, Sorting",2
You are given an array of strings words and a string chars. A string is good if it can be formed by characters from chars (each character can only be used once). Return the sum of lengths of all good strings in words.  ,find-words-that-can-be-formed-by-characters,Find Words That Can Be Formed by Characters,"Array, Hash Table, String",2
"Given two arrays arr1 and arr2, the elements of arr2 are distinct, and all elements in arr2 are also in arr1. Sort the elements of arr1 such that the relative ordering of items in arr1 are the same as in arr2. Elements that do not appear in arr2 should be placed at the end of arr1 in ascending order.  ",relative-sort-array,Relative Sort Array,"Array, Hash Table, Sorting, Counting Sort",2
"Let the function f(s) be the frequency of the lexicographically smallest character in a non-empty string s. For example, if s = ""dcce"" then f(s) = 2 because the lexicographically smallest character is 'c', which has a frequency of 2. You are given an array of strings words and another array of query strings queries. For each query queries[i], count the number of words in words such that f(queries[i]) < f(W) for each W in words. Return an integer array answer, where each answer[i] is the answer to the ith query.  ",compare-strings-by-frequency-of-the-smallest-character,Compare Strings by Frequency of the Smallest Character,"Array, Hash Table, String, Binary Search, Sorting",2
"Suppose we have a class:  public class Foo {   public void first() { print(""first""); }   public void second() { print(""second""); }   public void third() { print(""third""); } }  The same instance of Foo will be passed to three different threads. Thread A will call first(), thread B will call second(), and thread C will call third(). Design a mechanism and modify the program to ensure that second() is executed after first(), and third() is executed after second(). Note: We do not know how the threads will be scheduled in the operating system, even though the numbers in the input seem to imply the ordering. The input format you see is mainly to ensure our tests' comprehensiveness.  ",print-in-order,Print in Order,Concurrency,2
"Given a valid (IPv4) IP address, return a defanged version of that IP address. A defanged IP address replaces every period ""."" with ""[.]"".  ",defanging-an-ip-address,Defanging an IP Address,String,2
"Given the root of a binary tree, find the maximum value v for which there exist different nodes a and b where v = |a.val - b.val| and a is an ancestor of b. A node a is an ancestor of b if either: any child of a is equal to b or any child of a is an ancestor of b.  ",maximum-difference-between-node-and-ancestor,Maximum Difference Between Node and Ancestor,"Tree, Depth-First Search, Binary Tree",2
"Alice and Bob take turns playing a game, with Alice starting first. Initially, there is a number n on the chalkboard. On each player's turn, that player makes a move consisting of:  Choosing any x with 0 < x < n and n % x == 0. Replacing the number n on the chalkboard with n - x.  Also, if a player cannot make a move, they lose the game. Return true if and only if Alice wins the game, assuming both players play optimally.  ",divisor-game,Divisor Game,"Math, Dynamic Programming, Brainteaser, Game Theory",2
"You are given a series of video clips from a sporting event that lasted time seconds. These video clips can be overlapping with each other and have varying lengths. Each video clip is described by an array clips where clips[i] = [starti, endi] indicates that the ith clip started at starti and ended at endi. We can cut these clips into segments freely.  For example, a clip [0, 7] can be cut into segments [0, 1] + [1, 3] + [3, 7].  Return the minimum number of clips needed so that we can cut the clips into segments that cover the entire sporting event [0, time]. If the task is impossible, return -1.  ",video-stitching,Video Stitching,"Array, Dynamic Programming, Greedy",2
"You are given an integer array values where values[i] represents the value of the ith sightseeing spot. Two sightseeing spots i and j have a distance j - i between them. The score of a pair (i < j) of sightseeing spots is values[i] + values[j] + i - j: the sum of the values of the sightseeing spots, minus the distance between them. Return the maximum score of a pair of sightseeing spots.  ",best-sightseeing-pair,Best Sightseeing Pair,"Array, Dynamic Programming",2
"In a town, there are n people labeled from 1 to n. There is a rumor that one of these people is secretly the town judge. If the town judge exists, then:  The town judge trusts nobody. Everybody (except for the town judge) trusts the town judge. There is exactly one person that satisfies properties 1 and 2.  You are given an array trust where trust[i] = [ai, bi] representing that the person labeled ai trusts the person labeled bi. If a trust relationship does not exist in trust array, then such a trust relationship does not exist. Return the label of the town judge if the town judge exists and can be identified, or return -1 otherwise.  ",find-the-town-judge,Find the Town Judge,"Array, Hash Table, Graph",2
"For a binary tree T, we can define a flip operation as follows: choose any node, and swap the left and right child subtrees. A binary tree X is flip equivalent to a binary tree Y if and only if we can make X equal to Y after some number of flip operations. Given the roots of two binary trees root1 and root2, return true if the two trees are flip equivalent or false otherwise.  ",flip-equivalent-binary-trees,Flip Equivalent Binary Trees,"Tree, Depth-First Search, Binary Tree",2
"Given an n x n array of integers matrix, return the minimum sum of any falling path through matrix. A falling path starts at any element in the first row and chooses the element in the next row that is either directly below or diagonally left/right. Specifically, the next element from position (row, col) will be (row + 1, col - 1), (row + 1, col), or (row + 1, col + 1).  ",minimum-falling-path-sum,Minimum Falling Path Sum,"Array, Dynamic Programming, Matrix",2
"Your friend is typing his name into a keyboard. Sometimes, when typing a character c, the key might get long pressed, and the character will be typed 1 or more times. You examine the typed characters of the keyboard. Return True if it is possible that it was your friends name, with some characters (possibly none) being long pressed.  ",long-pressed-name,Long Pressed Name,"Two Pointers, String",2
"You are given an integer array deck where deck[i] represents the number written on the ith card. Partition the cards into one or more groups such that:  Each group has exactly x cards where x > 1, and All the cards in one group have the same integer written on them.  Return true if such partition is possible, or false otherwise.  ",x-of-a-kind-in-a-deck-of-cards,X of a Kind in a Deck of Cards,"Array, Hash Table, Math, Counting, Number Theory",2
"A sentence is a string of single-space separated words where each word consists only of lowercase letters. A word is uncommon if it appears exactly once in one of the sentences, and does not appear in the other sentence. Given two sentences s1 and s2, return a list of all the uncommon words. You may return the answer in any order.  ",uncommon-words-from-two-sentences,Uncommon Words from Two Sentences,"Hash Table, String",2
"Consider all the leaves of a binary tree, from left to right order, the values of those leaves form a leaf value sequence.  For example, in the given tree above, the leaf value sequence is (6, 7, 4, 9, 8). Two binary trees are considered leaf-similar if their leaf value sequence is the same. Return true if and only if the two given trees with head nodes root1 and root2 are leaf-similar.  ",leaf-similar-trees,Leaf-Similar Trees,"Tree, Depth-First Search, Binary Tree",2
"An array arr a mountain if the following properties hold:  arr.length >= 3 There exists some i with 0 < i < arr.length - 1 such that: 	 arr[0] < arr[1] < ... < arr[i - 1] < arr[i]  arr[i] > arr[i + 1] > ... > arr[arr.length - 1]    Given a mountain array arr, return the index i such that arr[0] < arr[1] < ... < arr[i - 1] < arr[i] > arr[i + 1] > ... > arr[arr.length - 1]. You must solve it in O(log(arr.length)) time complexity.  ",peak-index-in-a-mountain-array,Peak Index in a Mountain Array,"Array, Binary Search",2
"An integer x is a good if after rotating each digit individually by 180 degrees, we get a valid number that is different from x. Each digit must be rotated - we cannot choose to leave it alone. A number is valid if each digit remains a digit after rotation. For example:  0, 1, and 8 rotate to themselves, 2 and 5 rotate to each other (in this case they are rotated in a different direction, in other words, 2 or 5 gets mirrored), 6 and 9 rotate to each other, and the rest of the numbers do not rotate to any other number and become invalid.  Given an integer n, return the number of good integers in the range [1, n].  ",rotated-digits,Rotated Digits,"Math, Dynamic Programming",2
"You are given an integer array nums of length n which represents a permutation of all the integers in the range [0, n - 1]. The number of global inversions is the number of the different pairs (i, j) where:  0 <= i < j < n nums[i] > nums[j]  The number of local inversions is the number of indices i where:  0 <= i < n - 1 nums[i] > nums[i + 1]  Return true if the number of global inversions is equal to the number of local inversions.  ",global-and-local-inversions,Global and Local Inversions,"Array, Math",2
"You're given strings jewels representing the types of stones that are jewels, and stones representing the stones you have. Each character in stones is a type of stone you have. You want to know how many of the stones you have are also jewels. Letters are case sensitive, so ""a"" is considered a different type of stone from ""A"".  ",jewels-and-stones,Jewels and Stones,"Hash Table, String",2
"You are given a string s. We want to partition the string into as many parts as possible so that each letter appears in at most one part. Note that the partition is done so that after concatenating all the parts in order, the resultant string should be s. Return a list of integers representing the size of these parts.  ",partition-labels,Partition Labels,"Hash Table, Two Pointers, String, Greedy",2
"You are stacking blocks to form a pyramid. Each block has a color, which is represented by a single letter. Each row of blocks contains one less block than the row beneath it and is centered on top. To make the pyramid aesthetically pleasing, there are only specific triangular patterns that are allowed. A triangular pattern consists of a single block stacked on top of two blocks. The patterns are given as a list of three-letter strings allowed, where the first two characters of a pattern represent the left and right bottom blocks respectively, and the third character is the top block.  For example, ""ABC"" represents a triangular pattern with a 'C' block stacked on top of an 'A' (left) and 'B' (right) block. Note that this is different from ""BAC"" where 'B' is on the left bottom and 'A' is on the right bottom.  You start with a bottom row of blocks bottom, given as a single string, that you must use as the base of the pyramid. Given bottom and allowed, return true if you can build the pyramid all the way to the top such that every triangular pattern in the pyramid is in allowed, or false otherwise.  ",pyramid-transition-matrix,Pyramid Transition Matrix,"Bit Manipulation, Depth-First Search, Breadth-First Search",2
"Given a string licensePlate and an array of strings words, find the shortest completing word in words. A completing word is a word that contains all the letters in licensePlate. Ignore numbers and spaces in licensePlate, and treat letters as case insensitive. If a letter appears more than once in licensePlate, then it must appear in the word the same number of times or more. For example, if licensePlate = ""aBc 12c"", then it contains letters 'a', 'b' (ignoring case), and 'c' twice. Possible completing words are ""abccdef"", ""caaacab"", and ""cbca"". Return the shortest completing word in words. It is guaranteed an answer exists. If there are multiple shortest completing words, return the first one that occurs in words.  ",shortest-completing-word,Shortest Completing Word,"Array, Hash Table, String",2
"You are given an integer array nums. You want to maximize the number of points you get by performing the following operation any number of times:  Pick any nums[i] and delete it to earn nums[i] points. Afterwards, you must delete every element equal to nums[i] - 1 and every element equal to nums[i] + 1.  Return the maximum number of points you can earn by applying the above operation some number of times.  ",delete-and-earn,Delete and Earn,"Array, Hash Table, Dynamic Programming",2
"Given an array of integers nums, calculate the pivot index of this array. The pivot index is the index where the sum of all the numbers strictly to the left of the index is equal to the sum of all the numbers strictly to the index's right. If the index is on the left edge of the array, then the left sum is 0 because there are no elements to the left. This also applies to the right edge of the array. Return the leftmost pivot index. If no such index exists, return -1.  ",find-pivot-index,Find Pivot Index,"Array, Prefix Sum",2
"Given an integer array nums and an integer k, return true if it is possible to divide this array into k non-empty subsets whose sums are all equal.  ",partition-to-k-equal-sum-subsets,Partition to K Equal Sum Subsets,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask",2
"Given two strings a and b, return the minimum number of times you should repeat string a so that string b is a substring of it. If it is impossible for b​​​​​​ to be a substring of a after repeating it, return -1. Notice: string ""abc"" repeated 0 times is """", repeated 1 time is ""abc"" and repeated 2 times is ""abcabc"".  ",repeated-string-match,Repeated String Match,"String, String Matching",2
"In this problem, a tree is an undirected graph that is connected and has no cycles. You are given a graph that started as a tree with n nodes labeled from 1 to n, with one additional edge added. The added edge has two different vertices chosen from 1 to n, and was not an edge that already existed. The graph is represented as an array edges of length n where edges[i] = [ai, bi] indicates that there is an edge between nodes ai and bi in the graph. Return an edge that can be removed so that the resulting graph is a tree of n nodes. If there are multiple answers, return the answer that occurs last in the input.  ",redundant-connection,Redundant Connection,"Depth-First Search, Breadth-First Search, Union Find, Graph",2
"You are given an integer array cards of length 4. You have four cards, each containing a number in the range [1, 9]. You should arrange the numbers on these cards in a mathematical expression using the operators ['+', '-', '*', '/'] and the parentheses '(' and ')' to get the value 24. You are restricted with the following rules:  The division operator '/' represents real division, not integer division.  	 For example, 4 / (1 - 2 / 3) = 4 / (1 / 3) = 12.   Every operation done is between two numbers. In particular, we cannot use '-' as a unary operator. 	 For example, if cards = [1, 1, 1, 1], the expression ""-1 - 1 - 1 - 1"" is not allowed.   You cannot concatenate numbers together 	 For example, if cards = [1, 2, 1, 2], the expression ""12 + 12"" is not valid.    Return true if you can get such expression that evaluates to 24, and false otherwise.  ",24-game,24 Game,"Array, Math, Backtracking",2
"Design a map that allows you to do the following:  Maps a string key to a given value. Returns the sum of the values that have a key with a prefix equal to a given string.  Implement the MapSum class:  MapSum() Initializes the MapSum object. void insert(String key, int val) Inserts the key-val pair into the map. If the key already existed, the original key-value pair will be overridden to the new one. int sum(string prefix) Returns the sum of all the pairs' value whose key starts with the prefix.   ",map-sum-pairs,Map Sum Pairs,"Hash Table, String, Design, Trie",2
